"placa","modelo","tipo","modelo-2","sum","sum-2","total_oficina","total_abastecimento"
"RIC4223","Toro","Picape","Toro","24","3360.00","1320.00","2005.80"
"RIC4923","208","Hatch","208","12","1550.00","1280.00","917.60"
"RIC2823","Pulse","SUV","Pulse","80","8400.00","10360.00","5136.35"
"RIC4567","Kwid","Hatch","Kwid","198","27780.00","7695.00","12724.20"
"RIC1723","Camry","Sedan","Camry","280","41000.00","43925.00","17235.40"
"RIC1223","Cruze","Sedan","Cruze","558","86760.00","39600.00","35167.20"
"RIC6789","Onix","Hatch","Onix","144","18120.00","8280.00","8914.50"
"RIC8901","Argo","Hatch","Argo","324","48960.00","40950.00","19020.40"
"RIC3023","Ecosport","SUV","Ecosport","147","20580.00","10360.00","9412.20"
"RIC2023","Kicks","SUV","Kicks","124","18440.00","32640.00","8174.80"
"RIC2623","HR-V","SUV","HR-V","28","4440.00","3400.00","2026.40"
"RIC3923","Frontier","Picape","Frontier","56","6895.00","5180.00","3497.00"
"RIC0123","Yaris","Hatch","Yaris","120","19020.00","14550.00","8410.00"
"RIC2923","Nivus","SUV","Nivus","36","5220.00","5880.00","3561.60"
"RIC3223","Commander","SUV","Commander","48","7800.00","8480.00","2676.90"
"RIC9012","Polo","Hatch","Polo","320","48300.00","37600.00","20453.60"
"RIC2423","Tracker","SUV","Tracker","84","9300.00","7800.00","6546.60"
"RIC4523","Fiorino","Picape","Fiorino","44","6640.00","7800.00","3739.80"
"RIC1523","Elantra","Sedan","Elantra","96","14910.00","8640.00","5632.80"
"RIC3823","Ranger","Picape","Ranger","24","4020.00","630.00","1602.60"
"RIC2223","Creta","SUV","Creta","72","12510.00","3630.00","5152.20"
"RIC4123","Strada","Picape","Strada","504","71260.00","35000.00","34688.00"
"RIC1623","Cronos","Sedan","Cronos","243","38160.00","39270.00","15336.30"
"RIC3456","HB20","Hatch","HB20","108","14160.00","5880.00","8490.30"
"RIC1923","Compass","SUV","Compass","216","30960.00","25380.00","11616.75"
"RIC4823","Spin","SUV","Spin","40","5500.00","11000.00","2512.30"
"RIC4623","Golf","Hatch","Golf","72","12060.00","8520.00","5427.60"
"RIC7890","Gol","Hatch","Gol","129","17820.00","13860.00","8787.90"
"RIC3323","Sportage","SUV","Sportage","192","25440.00","13800.00","11034.60"
"RIC1823","Accord","Sedan","Accord","144","23040.00","12870.00","7534.80"
"RIC1323","Versa","Sedan","Versa","114","17340.00","6550.00","7996.50"
"RIC4023","Amarok","Picape","Amarok","24","4260.00","1455.00","1667.20"
"RIC5678","Ka","Hatch","Ka","336","48960.00","45220.00","21454.44"
"RIC1234","Civic","Sedan","Civic","75","9950.00","19000.00","4798.40"
"RIC3623","S10","Picape","S10","72","10440.00","6000.00","6041.60"
"RIC2323","TCross","SUV","TCross","36","4200.00","2880.00","3128.40"
"RIC1123","City","Sedan","City","42","5640.00","2520.00","3236.00"
